key, agreement,
0,0.0,
1,0.016,
2,0.0,
3,0.007,
4,0.0055,
5,0.0045,
6,0.0025,
7,0.0085,
8,0.0215,
9,0.0005,
10,0.0125,
11,0.0035,
12,0.0,
13,0.004,
14,0.005,
15,0.006,
16,0.0015,
17,0.0015,
18,0.0065,
19,0.0145,
20,0.005,
21,0.001,
22,0.012,
23,0.001,
24,0.006,
25,0.006,
26,0.014,
27,0.253,
28,0.0085,
29,0.0055,
30,0.0095,
31,0.0005,
32,0.022,
33,0.011,
34,0.003,
35,0.021,
36,0.0245,
37,0.0105,
38,0.0055,
39,0.0175,
40,0.0195,
41,0.0065,
42,0.0045,
43,0.0175,
44,0.017,
45,0.002,
46,0.005,
47,0.013,
48,0.0025,
49,0.0065,
50,0.0015,
51,0.0065,
52,0.015,
53,0.002,
54,0.003,
55,0.003,
56,0.017,
57,0.014,
58,0.01,
59,0.002,
60,0.0115,
61,0.0125,
62,0.0055,
63,0.0055,
64,0.015,
65,0.006,
66,0.011,
67,0.017,
68,0.0075,
69,0.0095,
70,0.0095,
71,0.0005,
72,0.0005,
73,0.0045,
74,0.0135,
75,0.0015,
76,0.001,
77,0.006,
78,0.012,
79,0.002,
80,0.0065,
81,0.0085,
82,0.0025,
83,0.0075,
84,0.013,
85,0.008,
86,0.008,
87,0.024,
88,0.012,
89,0.003,
90,0.0,
91,0.016,
92,0.0075,
93,0.0085,
94,0.0015,
95,0.0085,
96,0.02,
97,0.002,
98,0.011,
99,0.012,
100,0.0045,
101,0.0025,
102,0.0245,
103,0.0165,
104,0.0105,
105,0.0125,
106,0.0035,
107,0.0075,
108,0.019,
109,0.017,
110,0.011,
111,0.002,
112,0.0165,
113,0.0115,
114,0.0005,
115,0.0155,
116,0.002,
117,0.01,
118,0.006,
119,0.011,
120,0.002,
121,0.008,
122,0.003,
123,0.0,
124,0.0035,
125,0.0095,
126,0.0195,
127,0.0005,
