key, agreement
0, 0.0
1, 0.012
2, 0.0095
3, 0.0105
4, 0.0025
5, 0.0085
6, 0.003
7, 0.013
8, 0.019
9, 0.018
10, 0.0065
11, 0.0005
12, 0.0035
13, 0.0135
14, 0.005
15, 0.004
16, 0.006
17, 0.0
18, 0.0105
19, 0.0105
20, 0.0115
21, 0.0045
22, 0.006
23, 0.002
24, 0.008
25, 0.009
26, 0.0085
27, 0.0045
28, 0.0055
29, 0.0135
30, 0.011
31, 0.01
32, 0.0115
33, 0.0025
34, 0.026
35, 0.008
36, 0.013
37, 0.005
38, 0.0065
39, 0.0025
40, 0.0125
41, 0.0035
42, 0.014
43, 0.027
44, 0.01
45, 0.007
46, 0.0005
47, 0.0045
48, 0.0025
49, 0.0075
50, 0.004
51, 0.004
52, 0.022
53, 0.012
54, 0.0115
55, 0.0055
56, 0.0135
57, 0.0165
58, 0.039
59, 0.004
60, 0.002
61, 0.001
62, 0.0065
63, 0.0085
64, 0.021
65, 0.021
66, 0.0025
67, 0.0035
68, 0.0225
69, 0.0105
70, 0.006
71, 0.014
72, 0.006
73, 0.007
74, 0.0135
75, 0.0005
76, 0.0095
77, 0.0035
78, 0.01
79, 0.015
80, 0.018
81, 0.008
82, 0.0135
83, 0.0115
84, 0.0085
85, 0.0225
86, 0.0
87, 0.004
88, 0.01
89, 0.021
90, 0.0005
91, 0.0335
92, 0.0015
93, 0.0235
94, 0.025
95, 0.006
96, 0.0195
97, 0.0105
98, 0.017
99, 0.007
100, 0.004
101, 0.008
102, 0.0075
103, 0.0035
104, 0.0035
105, 0.0145
106, 0.001
107, 0.006
108, 0.015
109, 0.006
110, 0.0075
111, 0.0055
112, 0.0155
113, 0.0185
114, 0.012
115, 0.002
116, 0.022
117, 0.006
118, 0.0005
119, 0.0025
120, 0.0065
121, 0.0245
122, 0.013
123, 0.006
124, 0.022
125, 0.003
126, 0.0165
127, 0.0105
128, 0.0065
129, 0.0095
130, 0.003
131, 0.011
132, 0.013
133, 0.001
134, 0.0015
135, 0.0155
136, 0.0005
137, 0.0085
138, 0.001
139, 0.016
140, 0.008
141, 0.003
142, 0.0035
143, 0.0145
144, 0.0005
145, 0.0095
146, 0.008
147, 0.016
148, 0.013
149, 0.029
150, 0.0165
151, 0.0015
152, 0.0035
153, 0.0145
154, 0.001
155, 0.01
156, 0.001
157, 0.028
158, 0.0075
159, 0.0125
160, 0.006
161, 0.008
162, 0.0115
163, 0.0055
164, 0.0035
165, 0.0075
166, 0.002
167, 0.008
168, 0.003
169, 0.012
170, 0.0085
171, 0.0075
172, 0.0085
173, 0.0015
174, 0.002
175, 0.007
176, 0.001
177, 0.017
178, 0.0045
179, 0.0245
