key, agreement,
0,0.0,
1,0.005,
2,0.0015,
3,0.0075,
4,0.0005,
5,0.0045,
6,0.0,
7,0.002,
8,0.0085,
9,0.0105,
10,0.023,
11,0.001,
12,0.017,
13,0.0,
14,0.0035,
15,0.0125,
16,0.0095,
17,0.0105,
18,0.004,
19,0.012,
20,0.008,
21,0.005,
22,0.0065,
23,0.0175,
24,0.003,
25,0.006,
26,0.0255,
27,0.0235,
28,0.0155,
29,0.0095,
30,0.007,
31,0.005,
32,0.005,
33,0.005,
34,0.0055,
35,0.0105,
36,0.0015,
37,0.0025,
38,0.019,
39,0.002,
40,0.0105,
41,0.0005,
42,0.005,
43,0.008,
44,0.011,
45,0.021,
46,0.0075,
47,0.0405,
48,0.0075,
49,0.0015,
50,0.002,
51,0.019,
52,0.01,
53,0.004,
54,0.0025,
55,0.0155,
56,0.012,
57,0.01,
58,0.0015,
59,0.0155,
60,0.0055,
61,0.0065,
62,0.008,
63,0.013,
64,0.011,
65,0.009,
66,0.0005,
67,0.0015,
68,0.0095,
69,0.0035,
70,0.013,
71,0.008,
72,0.0015,
73,0.0035,
74,0.001,
75,0.002,
76,0.023,
77,0.009,
78,0.0055,
79,0.0065,
80,0.0085,
81,0.0145,
82,0.005,
83,0.006,
84,0.007,
85,0.007,
86,0.0065,
87,0.0255,
88,0.007,
89,0.001,
90,0.0085,
91,0.0215,
92,0.0035,
93,0.0015,
94,0.009,
95,0.004,
96,0.001,
97,0.002,
98,0.0105,
99,0.0145,
100,0.0225,
101,0.0025,
102,0.019,
103,0.009,
104,0.0275,
105,0.0035,
106,0.004,
107,0.004,
108,0.016,
109,0.013,
110,0.0175,
111,0.0055,
112,0.0035,
113,0.0165,
114,0.012,
115,0.002,
116,0.022,
117,0.025,
118,0.0085,
119,0.0075,
120,0.011,
121,0.016,
122,0.0055,
123,0.0175,
124,0.0005,
125,0.0035,
126,0.001,
127,0.023,
128,0.008,
129,0.008,
130,0.0095,
131,0.0105,
132,0.0055,
133,0.0115,
134,0.001,
135,0.01,
136,0.0155,
137,0.0145,
138,0.019,
139,0.004,
140,0.006,
141,0.012,
142,0.0095,
143,0.0155,
144,0.0085,
145,0.0215,
146,0.005,
147,0.004,
148,0.01,
149,0.002,
150,0.0125,
151,0.0135,
152,0.012,
153,0.01,
154,0.0045,
155,0.0035,
156,0.0065,
157,0.0075,
158,0.005,
159,0.018,
160,0.018,
161,0.011,
162,0.0065,
163,0.0225,
164,0.0095,
165,0.0185,
166,0.003,
167,0.009,
168,0.0225,
169,0.0175,
170,0.01,
171,0.002,
172,0.011,
173,0.002,
174,0.0025,
175,0.0025,
176,0.0085,
177,0.0005,
178,0.006,
179,0.0,
180,0.003,
181,0.01,
182,0.0095,
183,0.0025,
184,0.01,
185,0.007,
186,0.0125,
187,0.0115,
188,0.0095,
189,0.0065,
190,0.013,
191,0.013,
192,0.012,
193,0.027,
194,0.0155,
195,0.0155,
196,0.0075,
197,0.0005,
198,0.009,
199,0.005,
200,0.0105,
201,0.0235,
202,0.01,
203,0.006,
204,0.025,
205,0.004,
206,0.0055,
207,0.0045,
208,0.0015,
209,0.0065,
210,0.005,
211,0.015,
212,0.016,
213,0.011,
214,0.0355,
215,0.0065,
216,0.009,
217,0.018,
218,0.0115,
219,0.0045,
220,0.0145,
221,0.0165,
222,0.016,
223,0.002,
224,0.013,
225,0.005,
226,0.0015,
227,0.0035,
228,0.0085,
229,0.0135,
230,0.006,
231,0.009,
232,0.0195,
233,0.0075,
234,0.008,
235,0.007,
236,0.005,
237,0.005,
238,0.0045,
239,0.0105,
240,0.0085,
241,0.0085,
242,0.015,
243,0.01,
244,0.004,
245,0.008,
246,0.0105,
247,0.0025,
248,0.004,
249,0.008,
250,0.0025,
251,0.0095,
252,0.0095,
253,0.0035,
254,0.001,
255,0.004,
256,0.0025,
257,0.0035,
258,0.009,
259,0.006,
260,0.028,
261,0.012,
262,0.0185,
263,0.0065,
264,0.007,
265,0.009,
266,0.0255,
267,0.0105,
268,0.0035,
269,0.0055,
270,0.012,
271,0.009,
272,0.003,
273,0.003,
274,0.0045,
275,0.0185,
276,0.0095,
277,0.0135,
278,0.016,
279,0.027,
280,0.0195,
281,0.0125,
282,0.005,
283,0.01,
284,0.016,
285,0.012,
286,0.0075,
287,0.0055,
288,0.0105,
289,0.0125,
290,0.0,
291,0.002,
292,0.013,
293,0.002,
294,0.0135,
295,0.0065,
296,0.001,
297,0.008,
298,0.0145,
299,0.0025,
300,0.0185,
301,0.0175,
302,0.008,
303,0.008,
304,0.015,
305,0.008,
306,0.0195,
307,0.0175,
308,0.0035,
309,0.0145,
310,0.004,
311,0.008,
312,0.0055,
313,0.0065,
314,0.022,
315,0.008,
316,0.003,
317,0.004,
318,0.0025,
319,0.0165,
320,0.0125,
321,0.0045,
322,0.009,
323,0.009,
324,0.006,
325,0.007,
326,0.0115,
327,0.0005,
328,0.018,
329,0.007,
330,0.0035,
331,0.0135,
332,0.0195,
333,0.0155,
334,0.007,
335,0.015,
336,0.005,
337,0.008,
338,0.0035,
339,0.0085,
340,0.0035,
341,0.0005,
342,0.002,
343,0.018,
344,0.0045,
345,0.0115,
346,0.004,
347,0.02,
348,0.001,
349,0.002,
350,0.0045,
351,0.0095,
352,0.0115,
353,0.0135,
354,0.013,
355,0.0,
356,0.004,
357,0.006,
358,0.0015,
359,0.0015,
360,0.005,
361,0.009,
362,0.0145,
363,0.0045,
364,0.0185,
365,0.0015,
366,0.006,
367,0.005,
368,0.0,
369,0.01,
370,0.0025,
371,0.0195,
372,0.0055,
373,0.0115,
374,0.001,
375,0.014,
376,0.0035,
377,0.0035,
378,0.014,
379,0.003,
380,0.007,
381,0.001,
382,0.0025,
383,0.0065,
384,0.0085,
385,0.0095,
386,0.002,
387,0.002,
388,0.01,
389,0.003,
390,0.0065,
391,0.0055,
392,0.004,
393,0.013,
394,0.0015,
395,0.0045,
396,0.0085,
397,0.0065,
398,0.006,
399,0.002,
400,0.001,
401,0.004,
402,0.0145,
403,0.0175,
404,0.0015,
405,0.0125,
406,0.011,
407,0.007,
408,0.0135,
409,0.0155,
410,0.019,
411,0.005,
412,0.009,
413,0.008,
414,0.0015,
415,0.0045,
416,0.0055,
417,0.0115,
418,0.006,
419,0.003,
420,0.016,
421,0.014,
422,0.0035,
423,0.0075,
424,0.009,
425,0.013,
426,0.0115,
427,0.0065,
428,0.0065,
429,0.0065,
430,0.009,
431,0.002,
432,0.004,
433,0.01,
434,0.0165,
435,0.0145,
436,0.0205,
437,0.0015,
438,0.002,
439,0.001,
440,0.0165,
441,0.0235,
442,0.001,
443,0.0,
444,0.005,
445,0.029,
446,0.0235,
447,0.0315,
448,0.0085,
449,0.0155,
450,0.005,
451,0.012,
452,0.009,
453,0.015,
454,0.0015,
455,0.0065,
456,0.026,
457,0.018,
458,0.0015,
459,0.0025,
460,0.0075,
461,0.0045,
462,0.008,
463,0.013,
464,0.006,
465,0.014,
466,0.0145,
467,0.0005,
468,0.0155,
469,0.0065,
470,0.004,
471,0.009,
472,0.0155,
473,0.0055,
474,0.007,
475,0.0,
476,0.007,
477,0.003,
478,0.0025,
479,0.0125,
480,0.0025,
481,0.0015,
482,0.026,
483,0.002,
484,0.008,
485,0.027,
486,0.0075,
487,0.0015,
488,0.006,
489,0.011,
490,0.0025,
491,0.0005,
492,0.0075,
493,0.0015,
494,0.006,
495,0.008,
496,0.018,
497,0.005,
498,0.0055,
499,0.0105,
500,0.0155,
501,0.0005,
502,0.002,
503,0.008,
504,0.0045,
505,0.0065,
506,0.012,
507,0.008,
508,0.006,
509,0.027,
510,0.0175,
511,0.0105,
512,0.0145,
513,0.0015,
514,0.01,
515,0.014,
516,0.022,
517,0.007,
518,0.0005,
519,0.0035,
520,0.006,
521,0.005,
522,0.0105,
523,0.0085,
524,0.0275,
525,0.0045,
526,0.016,
527,0.02,
528,0.013,
529,0.012,
530,0.0045,
531,0.0055,
532,0.0065,
533,0.0045,
534,0.003,
535,0.021,
536,0.0135,
537,0.0085,
538,0.011,
539,0.005,
540,0.009,
541,0.004,
542,0.0075,
543,0.0085,
544,0.0345,
545,0.0075,
546,0.015,
547,0.022,
548,0.007,
549,0.001,
550,0.0215,
551,0.0055,
552,0.006,
553,0.008,
554,0.0045,
555,0.0095,
556,0.0075,
557,0.0045,
558,0.008,
559,0.005,
560,0.001,
561,0.007,
562,0.0055,
563,0.0095,
564,0.0025,
565,0.0175,
566,0.011,
567,0.012,
568,0.0015,
569,0.0005,
570,0.0,
571,0.019,
572,0.008,
573,0.016,
574,0.0015,
575,0.0035,
576,0.0045,
577,0.0035,
578,0.01,
579,0.001,
580,0.0,
581,0.002,
582,0.0155,
583,0.0115,
584,0.005,
585,0.007,
586,0.0055,
587,0.0225,
588,0.0015,
589,0.0185,
590,0.003,
591,0.022,
592,0.007,
593,0.013,
594,0.0035,
595,0.0075,
596,0.0095,
597,0.0175,
598,0.019,
599,0.016,
600,0.0055,
601,0.0065,
602,0.008,
603,0.007,
604,0.0,
605,0.012,
606,0.0075,
607,0.0125,
608,0.0125,
609,0.0015,
610,0.002,
611,0.01,
612,0.008,
613,0.011,
614,0.0145,
615,0.0035,
616,0.0,
617,0.001,
618,0.0185,
619,0.0045,
620,0.0165,
621,0.0085,
622,0.028,
623,0.006,
624,0.008,
625,0.015,
626,0.0015,
627,0.0075,
628,0.0015,
629,0.0175,
630,0.014,
631,0.014,
632,0.0095,
633,0.0115,
634,0.004,
635,0.002,
636,0.004,
637,0.029,
638,0.0105,
639,0.0085,
640,0.0175,
641,0.0095,
642,0.015,
643,0.008,
644,0.016,
645,0.014,
646,0.0245,
647,0.0155,
648,0.009,
649,0.015,
650,0.0095,
651,0.0065,
652,0.0095,
653,0.0015,
654,0.008,
655,0.015,
656,0.021,
657,0.021,
658,0.0015,
659,0.0055,
660,0.0155,
661,0.0035,
662,0.004,
663,0.019,
664,0.0055,
665,0.0065,
666,0.013,
667,0.0,
668,0.008,
669,0.016,
670,0.0025,
671,0.0015,
672,0.0115,
673,0.0155,
674,0.003,
675,0.031,
676,0.004,
677,0.013,
678,0.0065,
679,0.0005,
680,0.002,
681,0.007,
682,0.0145,
683,0.0035,
684,0.0045,
685,0.0145,
686,0.001,
687,0.009,
688,0.002,
689,0.011,
690,0.0115,
691,0.0015,
692,0.0125,
693,0.0095,
694,0.011,
695,0.001,
696,0.0195,
697,0.0045,
698,0.009,
699,0.015,
700,0.028,
701,0.007,
702,0.0045,
703,0.0055,
704,0.0185,
705,0.0045,
706,0.01,
707,0.016,
708,0.001,
709,0.006,
710,0.0035,
711,0.0135,
712,0.021,
713,0.0,
714,0.0005,
715,0.0045,
716,0.0185,
717,0.0045,
718,0.0,
719,0.01,
720,0.002,
721,0.007,
722,0.0115,
723,0.0045,
724,0.0075,
725,0.0115,
726,0.001,
727,0.017,
728,0.0105,
729,0.0065,
730,0.021,
731,0.013,
732,0.008,
733,0.001,
734,0.0015,
735,0.0115,
736,0.0035,
737,0.0075,
738,0.005,
739,0.01,
740,0.0,
741,0.02,
742,0.0115,
743,0.0115,
744,0.007,
745,0.001,
746,0.0065,
747,0.0005,
748,0.0085,
749,0.0055,
750,0.002,
751,0.017,
752,0.006,
753,0.0,
754,0.0065,
755,0.0105,
756,0.0055,
757,0.0035,
758,0.007,
759,0.01,
760,0.0005,
761,0.0085,
762,0.028,
763,0.009,
764,0.009,
765,0.001,
766,0.0175,
767,0.0195,
768,0.017,
769,0.003,
770,0.0085,
771,0.0035,
772,0.0115,
773,0.0255,
774,0.006,
775,0.009,
776,0.0085,
777,0.0065,
778,0.01,
779,0.001,
780,0.003,
781,0.011,
782,0.0215,
783,0.0075,
784,0.0175,
785,0.0145,
786,0.018,
787,0.001,
788,0.009,
789,0.007,
790,0.0085,
791,0.0075,
792,0.017,
793,0.003,
794,0.0075,
795,0.0015,
796,0.0125,
797,0.0075,
798,0.0,
799,0.009,
800,0.018,
801,0.011,
802,0.0055,
803,0.0095,
804,0.0065,
805,0.0075,
806,0.015,
807,0.003,
808,0.0105,
809,0.0195,
810,0.006,
811,0.01,
812,0.003,
813,0.008,
814,0.0065,
815,0.0065,
816,0.0085,
817,0.0165,
818,0.01,
819,0.002,
820,0.001,
821,0.008,
822,0.0085,
823,0.0135,
824,0.014,
825,0.011,
826,0.0045,
827,0.0065,
828,0.0085,
829,0.0235,
830,0.003,
831,0.003,
832,0.006,
833,0.013,
834,0.0135,
835,0.0105,
836,0.0065,
837,0.0075,
838,0.021,
839,0.009,
840,0.0115,
841,0.0125,
842,0.012,
843,0.008,
844,0.011,
845,0.008,
846,0.0035,
847,0.0015,
848,0.0065,
849,0.0175,
850,0.011,
851,0.011,
852,0.022,
853,0.023,
854,0.0055,
855,0.0185,
856,0.005,
857,0.026,
858,0.0035,
859,0.0105,
860,0.0115,
861,0.0025,
862,0.018,
863,0.018,
864,0.006,
865,0.0,
866,0.0015,
867,0.0005,
868,0.0115,
869,0.0055,
870,0.001,
871,0.008,
872,0.0265,
873,0.0105,
874,0.011,
875,0.002,
876,0.01,
877,0.012,
878,0.0055,
879,0.0005,
880,0.0115,
881,0.0025,
882,0.006,
883,0.005,
884,0.005,
885,0.001,
886,0.0075,
887,0.0185,
888,0.001,
889,0.005,
890,0.0325,
891,0.0025,
892,0.0025,
893,0.0105,
894,0.01,
895,0.001,
896,0.003,
897,0.008,
898,0.0145,
899,0.0145,
900,0.0115,
901,0.0135,
902,0.011,
903,0.025,
904,0.0075,
905,0.0035,
906,0.01,
907,0.01,
908,0.01,
909,0.017,
910,0.0005,
911,0.0015,
912,0.0065,
913,0.0135,
914,0.019,
915,0.015,
916,0.019,
917,0.012,
918,0.0245,
919,0.0085,
920,0.012,
921,0.009,
922,0.0015,
923,0.0075,
924,0.0055,
925,0.0045,
926,0.01,
927,0.006,
928,0.029,
929,0.003,
930,0.0005,
931,0.0125,
932,0.0025,
933,0.0045,
934,0.005,
935,0.002,
936,0.0055,
937,0.0135,
938,0.015,
939,0.004,
940,0.011,
941,0.009,
942,0.0065,
943,0.0025,
944,0.0165,
945,0.0135,
946,0.006,
947,0.019,
948,0.018,
949,0.004,
950,0.0095,
951,0.0015,
952,0.01,
953,0.008,
954,0.0125,
955,0.0075,
956,0.0005,
957,0.0085,
958,0.006,
959,0.005,
960,0.001,
961,0.003,
962,0.0195,
963,0.0105,
964,0.0005,
965,0.0085,
966,0.003,
967,0.002,
968,0.0085,
969,0.0005,
970,0.011,
971,0.008,
972,0.009,
973,0.009,
974,0.0025,
975,0.0055,
976,0.0155,
977,0.0095,
978,0.007,
979,0.004,
980,0.005,
981,0.001,
982,0.0065,
983,0.0125,
